Model,WMAE,MAE,RMSE,MAPE,sMAPE,Runtime (s)
LSTM,1273.922945971415,1273.922945971415,2613.232964449769,1687.4723734863562,25.221541696827245,228.37731456756592
Deep Ensemble,1330.8025419733933,1330.8025419733933,2592.6521910866704,2290.9443765887568,28.037073156478804,77.93101811408997
BiLSTM with Attention,1431.437019749113,1431.437019749113,2683.4748574081605,3153.857737360513,31.034475893029516,101.17274570465088
1D-CNN,1717.6072364490922,1717.6072364490922,3028.4771978539716,3879.050123407334,34.10465832467515,104.26723861694336
LSTM-MLP Hybrid,1777.5510236999282,1777.5510236999282,3152.719276456271,5002.491089513716,37.64651265110967,80.47772073745728
TCN-Transformer Hybrid,2303.085115970148,2303.085115970148,3335.4128527460857,13544.050545844462,49.75259986765165,248.54449772834778
