,MAE,RMSE,MAPE,sMAPE,WAPE,WMAE,Runtime_Seconds
Seasonal Naive,1698.0193536483366,3658.167266431711,2400.1154565841753,23.456980970745278,10.892660707092084,1723.1296329906213,0.19154039999921224
Naive Forecast,2308.4691315874484,5080.297469212172,416.66518742556195,28.253382275996657,14.808648057603493,2241.276133285238,0.12120189999950526
Historical Mean,2425.440202293029,4953.467306202642,2800.8382446963724,29.201705178301513,15.559008283477011,2524.380953794801,0.03391550000014831
