Store,Dept,Total_Actual_Sales,Historical_Mean_WMAE,Naive_WMAE,Seasonal_Naive_WMAE,Best_Model
1,1,238799.72,4007.3821469465647,2983.552499999999,1236.13125,Seasonal Naive
1,2,546392.19,1917.0768845419852,3634.853124999998,1991.0881250000002,Historical Mean
1,3,253787.58000000002,9236.965143129768,14293.461249999998,5803.0125,Seasonal Naive
1,4,443275.26999999996,1951.0502242366406,3713.3681250000004,2424.545624999999,Historical Mean
1,5,253389.55,4589.538888358778,3052.4331250000014,3148.4506249999995,Naive Forecast
1,6,36478.08,2040.2052671755732,770.75,1868.0224999999998,Naive Forecast
1,7,226795.75,6675.498029580154,2154.3243749999992,4243.061874999999,Naive Forecast
1,8,452595.13,2628.508000954199,2465.705624999998,4020.181875,Naive Forecast
1,9,416506.29000000004,10832.679012404578,13438.060624999998,5059.565,Seasonal Naive
1,10,350252.5900000001,1990.530939885498,3320.4868749999996,1634.56375,Seasonal Naive
1,11,246655.3,4068.383272900763,6509.28625,1990.1493750000002,Seasonal Naive
1,12,125389.98,1060.557108778626,1130.9562500000002,1460.7756250000002,Historical Mean
1,13,485360.85,2987.088229961837,3280.0993749999952,3160.8881250000027,Historical Mean
1,14,147364.34,2904.23691793893,1084.86,960.4187499999996,Seasonal Naive
1,16,181473.44,8517.503854961835,8957.915000000003,2646.7268749999994,Seasonal Naive
1,17,97151.74999999999,1075.5956154580153,739.4493750000003,414.11625000000015,Seasonal Naive
1,18,52869.28999999999,6214.731843137255,3523.034666666667,1393.4103529411764,Seasonal Naive
1,19,14153.460000000001,163.49089694656482,313.88625,260.31499999999994,Historical Mean
1,20,44825.23999999999,491.97,821.2774999999997,460.1581249999999,Seasonal Naive
1,21,88647.16,563.3565744274806,1237.7212499999991,632.4962499999999,Historical Mean
1,22,86075.44,965.6353053435112,846.02,1514.7987500000004,Naive Forecast
1,23,233556.64,3539.259484732826,4098.2725,1531.9256249999992,Seasonal Naive
1,24,98786.49,2537.1103959923666,3018.834375,2010.3468749999993,Seasonal Naive
1,25,111191.92000000001,1722.8719561068701,1642.4987500000002,1103.6974999999998,Seasonal Naive
1,26,79968.82,1634.7299904580152,1255.9912499999998,1408.6581250000002,Naive Forecast
1,27,16318.53,297.3172280534351,268.525625,232.635,Seasonal Naive
1,28,5519.719999999999,194.87735687022902,137.65499999999997,80.65125,Seasonal Naive
1,29,45977.06999999999,1035.5328196564885,487.36312499999985,243.48499999999996,Seasonal Naive
1,30,32389.859999999997,814.8424427480917,602.7362499999999,268.47,Seasonal Naive
1,31,34518.62,1502.8844370229008,2456.1887500000003,837.0662499999999,Seasonal Naive
1,32,69073.26999999999,2395.364117366412,831.5231249999996,1110.3012500000002,Naive Forecast
1,33,88955.0,2071.2558301526724,2959.8725000000004,1626.55625,Seasonal Naive
1,34,119350.36,1816.3521183206112,1789.222499999999,1137.4212500000003,Seasonal Naive
1,35,20522.64,934.0427290076335,472.8300000000001,572.098125,Naive Forecast
1,36,7932.42,940.0673091603053,773.9262500000001,269.11125000000004,Seasonal Naive
1,37,31383.54,222.45249999999996,602.50375,178.01187500000015,Seasonal Naive
1,38,906881.3599999999,7169.798005725194,10995.815000000002,7273.687499999997,Historical Mean
1,40,699466.02,2299.4404961832056,2204.79625,3147.8262500000014,Naive Forecast
1,41,14431.400000000001,435.9712786259543,931.0950000000001,499.039375,Historical Mean
1,42,90174.04000000001,455.5266125954197,438.0099999999999,834.7874999999997,Naive Forecast
1,44,69510.87,910.1242414122137,929.2593750000003,516.3943750000001,Seasonal Naive
1,45,115.17,12.902794612794612,31.423333333333332,4.615319865319865,Seasonal Naive
1,46,211743.4,1827.4604389312967,2234.4725000000008,1286.2918750000001,Seasonal Naive
1,47,292.0,113.30000000000001,121.0,129.65,Historical Mean
1,48,16991.0,777.9099824561403,993.8,872.0666666666667,Historical Mean
1,49,129713.94000000002,1247.09625,1288.1087499999999,1839.0918750000005,Historical Mean
1,52,23135.909999999996,490.0823330152673,320.58187499999985,412.24937500000004,Naive Forecast
1,54,384.46,67.47379234972678,22.03066666666667,40.70948633879781,Naive Forecast
1,55,112077.31999999998,4096.452385496183,1384.55125,1633.1124999999995,Naive Forecast
1,56,17251.309999999998,2865.340605916031,394.72437499999995,342.780625,Seasonal Naive
1,58,46575.0,1712.4865935114508,1448.4375,2225.18375,Naive Forecast
1,59,2131.32,755.0353053435115,75.385,78.903125,Naive Forecast
1,60,11178.0,143.67347328244273,204.75,89.07499999999999,Seasonal Naive
1,67,72754.62,1679.3342080152672,572.12875,533.0975,Seasonal Naive
1,71,26056.170000000006,752.2237738549618,812.7381249999999,796.9350000000001,Historical Mean
1,72,521006.92000000004,8047.60163167939,3699.4749999999995,7676.091250000001,Naive Forecast
1,74,124565.0,1270.4663263358789,1711.6549999999995,855.2300000000002,Seasonal Naive
1,79,405154.57999999996,6859.448750000001,9541.705,5404.86375,Seasonal Naive
1,80,233404.68999999997,3089.857647900766,1187.0718749999996,1490.6543750000003,Naive Forecast
1,81,365676.77999999997,1628.2257442748091,1265.1212499999997,1752.221875,Naive Forecast
1,82,237423.75,983.2579437022898,910.9718750000009,1533.9581249999997,Naive Forecast
1,83,72107.12,942.268291984733,939.59125,686.4675000000002,Seasonal Naive
1,85,34340.08,839.3368416030537,786.0975000000003,422.841875,Seasonal Naive
1,87,616375.9099999999,7297.380453244272,9835.849375000002,4897.423749999998,Seasonal Naive
1,90,1063698.62,8837.562156488537,4847.873750000002,3214.4749999999995,Seasonal Naive
1,91,786716.3999999999,6816.639227099235,5830.994999999997,2336.9106249999954,Seasonal Naive
1,92,1725857.65,16420.193697519084,13303.303124999995,11105.388750000002,Seasonal Naive
1,93,921369.2600000001,11321.599608778622,10297.282500000001,5350.326875000001,Seasonal Naive
1,94,762690.97,3794.206541030533,3901.6343749999996,3180.799375000002,Seasonal Naive
1,95,1513198.27,10763.664375000002,9234.770624999997,4991.885625000003,Seasonal Naive
1,96,424789.65,3547.1305568181833,2859.971875,4857.441875,Naive Forecast
1,97,449059.05000000005,4615.720758587786,3878.5368750000007,1914.6125000000013,Seasonal Naive
1,98,141875.66,729.8888931297714,1052.57625,447.87937500000066,Seasonal Naive
1,99,735.2900000000001,348.8551436781609,71.21916666666667,176.24836206896552,Naive Forecast
