Date,Historical Mean,Naive Forecast,Seasonal Naive
2012-08-10,2526.1238106942883,1270.9313369106576,1660.5834838401106
2012-08-17,2702.768866879024,1638.691651032553,1686.6703636059979
2012-08-24,2761.2703349650874,2191.2165755126807,1954.3873362803636
2012-08-31,2737.261099193697,2051.8235796311415,1981.692415628381
2012-09-07,2820.9613605427376,2039.8613828956968,1798.39909221598
2012-09-14,2329.540326687455,2247.318630898296,1384.788779885655
2012-09-21,2108.7824375525493,2483.355028035873,1631.2049911621066
2012-09-28,2145.806507537873,2762.117040130804,1590.030820700206
2012-10-05,2243.5204088530836,2462.7050729214416,1724.1704209018108
2012-10-12,2157.4661367168806,2665.8094435158046,1641.8817880567894
2012-10-19,2218.859882163474,2799.8361823586947,1675.2893895151226
2012-10-26,2355.765950111174,3083.86235780985,1647.806097324945
