Metric,Value
Total Demand,506975529.77000004
Fulfilled Demand,304976530.7535012
Lost Sales,201998999.0164988
Fill Rate,0.6015606530198018
Cycle Service Level,0.36444212721584984
Average Ending Inventory,687.7016811158817
Total Holding Cost,22423201.014464438
Total Stockout Cost,1009994995.082494
Total Inventory Cost,1032418196.0969584
