Store,Dept,Error_Mean,Error_SD,Error_MAE,N,Shrunk_Error_SD,Safety_Stock_95
1.0,1.0,483.2239252096806,663.0476612658923,483.2239252096806,4,1988.6723924291853,3271.074997505407
1.0,2.0,251.99423555371868,2354.42555191365,1745.7209109471896,4,2550.8158741090824,4195.718742213714
1.0,3.0,5833.138338900011,15470.3432878949,9469.540369612287,4,11108.589582233755,18272.00386465253
1.0,4.0,-682.9625127433301,2054.500827276658,1832.4398299880868,4,2417.744529203855,3976.8358579030405
1.0,5.0,438.1155879566545,4184.758106409931,2845.340428427647,4,3534.275313050294,5813.3655673158255
1.0,6.0,-513.5989095106634,1294.2387946569954,742.8873651713757,4,2138.3472151763685,3517.2681725644297
1.0,7.0,604.2128266781701,594.6104311834462,647.6406438001122,4,1977.822683227952,3253.2288139743896
1.0,8.0,-237.38564700664574,1918.6639282431645,1205.3609965718897,4,2361.2787676650296,3883.9579452373264
1.0,9.0,3994.5621891353985,1878.752925655032,3994.5621891353985,4,2345.1776183657403,3857.4739114143035
1.0,10.0,-2198.8561567089982,1449.6844243779153,2198.8561567089982,4,2187.6458234816937,3598.357167239104
1.0,11.0,-26.692975205097355,1420.188082689993,1051.424607519154,4,2177.950614445211,3582.409967491393
1.0,12.0,700.5306019933746,600.3667151880281,768.2598885899702,4,1978.691961930347,3254.6586502008554
1.0,13.0,84.6695178673126,2962.601526820649,2395.1080838600083,4,2850.1764308924726,4688.123039805086
1.0,14.0,-910.8344460677577,1330.0618874832119,1020.266331106061,4,2149.310144237596,3535.300586192802
1.0,16.0,343.110865857524,1521.6012971999476,1255.1942000412846,4,2211.9306132144416,3638.3020917107683
1.0,17.0,87.51751479885161,507.17750427658603,426.1453310842794,4,1965.6083776472483,3233.1380691392756
1.0,18.0,-464.3188143945036,631.6707285926078,466.8038143945036,4,1983.558856836694,3262.663979939552
1.0,19.0,157.73190166291397,206.0696300629523,204.4488883628219,4,1938.100650139738,3187.8918837793544
1.0,20.0,-338.190275026045,669.9471877065026,601.1815729541617,4,1989.8282340475673,3272.976187783584
1.0,21.0,-212.7267469830458,566.1590511899946,425.08644825936153,4,1973.6437924501756,3246.35515032193
1.0,22.0,-885.509518148212,1019.8517425624021,1195.695318581862,4,2062.7773928028973,3392.966876145347
1.0,23.0,-190.07433056854734,2286.8276360755317,1737.8948119746483,4,2519.8793825130474,4144.832741806822
1.0,24.0,1438.6808835612617,3471.055187553372,3092.301897962291,4,3123.9580409114847,5138.453714037471
1.0,25.0,-154.06505169787602,1793.5147245191424,1267.641914159861,4,2311.568583751826,3802.1919689312685
1.0,26.0,-257.3447334591349,849.7402906644609,617.3837496359154,4,2023.8653771049585,3328.9623059926
1.0,27.0,165.49638556404835,283.42832906596095,200.31265569126987,4,1942.979051022809,3195.916139165597
1.0,28.0,6.249855253759456,66.22457050666776,48.82222238687081,4,1933.182513557458,3179.802268984148
1.0,29.0,-83.0724009108535,412.89122739085724,251.82242964736838,4,1954.5437745630304,3214.9384166254213
1.0,30.0,6.026963449073833,341.99683523702396,215.17793355027663,4,1947.6864998020098,3203.659203363754
1.0,31.0,67.56956031588135,2230.7069504726983,1579.7545641653026,4,2494.5998743883833,4103.25165118042
1.0,32.0,222.6597357551143,734.6507906187937,613.1253124061438,4,2001.2140505036796,3291.704189277224
1.0,33.0,806.5129004273474,2803.0139491397094,2222.2363961251685,4,2768.2928644547037,4553.4365585622
1.0,34.0,-450.8651681217384,422.59372090501006,450.8651681217384,4,1955.580351284269,3216.643433604964
1.0,35.0,-414.0851017854959,191.60436009320074,414.0851017854959,4,1937.3584849630429,3186.6711306966704
1.0,36.0,-235.4854841276764,223.10784152447496,250.40275142486473,4,1939.043665916214,3189.4430066995633
1.0,37.0,-208.69658693569272,231.80398538379762,208.69658693569272,4,1939.5536413502052,3190.28184164182
1.0,38.0,466.8421829522558,9860.708200708494,6836.645808959525,4,7235.453330207776,11901.261652830368
1.0,40.0,-367.7142297754508,2094.86497784119,1752.017387689466,4,2435.0013185926036,4005.220750518661
1.0,41.0,414.50102779376255,319.348973300568,414.50102779376255,4,1945.7630038699465,3200.495334103473
1.0,42.0,-426.6044517941252,539.4965595997346,507.2660524955129,4,1969.906102524917,3240.2071974919486
1.0,44.0,156.71922247588964,619.0695965286695,474.03792039610835,4,1981.571438663774,3259.3949679495554
1.0,45.0,-3.1943836781792534,2733.130726421601,3.1943836781792534,1,2733.130726421601,4495.599988287083
1.0,46.0,454.0618770719666,738.4185672870201,587.5797535193124,4,2001.9072840948559,3292.844457063995
1.0,48.0,461.07349725886314,612.0569741183963,537.228719617694,3,2104.5479830100053,3461.6733829474124
1.0,49.0,269.77945804082174,1037.3003986392916,884.557774425155,4,2067.123083506048,3400.1149012600335
1.0,52.0,-63.71222459716239,312.355984073127,231.63080034307677,4,1945.1953408971758,3199.561611603825
1.0,54.0,9.936614571564196,13.334824045768231,10.963385428435803,4,1932.63827257485,3178.90707222997
1.0,55.0,-568.6248569662114,1349.0711172933472,978.0057045357323,4,2155.2257941135763,3545.0309643470828
1.0,56.0,-111.21665033505184,341.94709388679854,238.535018797267,4,1947.6821330401292,3203.6520206796363
1.0,58.0,-147.53501521948033,2076.066810674999,1429.8367445286838,4,2426.938088425015,3991.9579171325586
1.0,59.0,27.773715747261882,96.29760679530969,75.57052157721671,4,1933.8144684514557,3180.84174228361
1.0,60.0,-50.37572095091613,151.146131686251,129.78070901516256,4,1935.5682267532688,3183.726417987144
1.0,67.0,-315.9901078675375,478.84198139091984,421.0620740303634,4,1962.0516316922258,3227.2877426550117
1.0,71.0,-567.2794629740134,757.2180705229312,798.9739484035055,4,2005.4155148043933,3298.61498307076
1.0,72.0,-3095.0283077249096,2450.5237104313555,3095.0283077249096,4,2595.6762146978313,4269.507436137396
1.0,74.0,-1174.3054445888542,562.2164121714031,1174.3054445888542,4,1973.0801886675506,3245.4281045959156
1.0,79.0,-63.540027320897025,7567.9376337694,5167.912404928163,4,5689.62580475786,9358.601640952655
1.0,80.0,-362.1300308714299,1022.0937296405996,905.0952777022094,4,2063.3321545355343,3393.879377993369
1.0,81.0,66.75504703002571,575.8501902000951,449.4304460054509,4,1975.0451905289856,3248.660245034663
1.0,82.0,523.1019458110877,643.8637670720337,636.0115066422186,4,1985.5180833044633,3265.886620701082
1.0,83.0,68.62703225126643,527.1214624415722,429.1391703750246,4,1968.2302461699458,3237.4506590882243
1.0,85.0,84.25929422780257,461.76759460468423,385.9206511803126,4,1960.0041937629705,3223.920006951118
1.0,87.0,-610.8653154519379,1641.7192331002063,1476.4800310889295,4,2254.4672993903678,3708.268714245737
1.0,90.0,-923.241180991794,2623.595819200587,2291.9811482888726,4,2678.9231596143877,4406.436475416023
1.0,91.0,-117.95032054019612,2103.687717397582,1567.5873378426513,4,2438.8015068921986,4011.4715040263486
1.0,92.0,1361.6976019545982,5419.964078559102,4528.469952039537,4,4292.203057905164,7060.04576740751
1.0,93.0,1308.9831571507584,3485.478428408105,3014.6042682738353,4,3131.977286205002,5151.644198743927
1.0,94.0,1015.8866128193167,4237.822092217328,3520.3942986144702,4,3565.749546238148,5865.136073930384
1.0,95.0,-2132.5032192450926,5701.710142565972,4500.666848084995,4,4470.989941699128,7354.124021667362
1.0,96.0,2615.47413304815,2530.1825883497595,2878.9580568456568,4,2633.612300443837,4331.906744369056
1.0,97.0,723.3898218067588,2123.154355307266,1642.7385713628246,4,2447.221688381549,4025.3214700886965
1.0,98.0,-304.83192438135393,572.5778366656568,560.7640475001945,4,1974.5694399983242,3247.877705048781
1.0,99.0,-10.812467368400583,36.329011989761895,20.90746736840058,4,1932.7859898113425,3179.150045462178
2.0,1.0,446.91763010487557,894.3368592812634,821.59792072454,4,2033.4505139760524,3344.728453139845
2.0,2.0,1239.2326806471465,1805.7166704313465,1590.7257037881864,4,2316.3134785239604,3809.996626306717
2.0,3.0,7593.8207977409975,14192.157825017532,11329.327997361368,4,10219.76876690261,16810.023722845133
2.0,4.0,264.741360041171,1323.0728377857506,1015.0594736301973,4,2147.1522188466643,3531.7511147868368
2.0,5.0,2130.948199829737,4939.503466054331,3767.278166237281,4,3991.7851932983954,6565.902353208049
2.0,6.0,158.03444727884664,1034.5935253056118,869.54704975487,4,2066.4446920150276,3398.999046555536
2.0,7.0,-1150.4040590735522,2695.00914844071,1649.5872408225796,4,2714.136868130363,4464.357871586937
2.0,8.0,735.7531950517769,2129.039384905979,1772.8027895953492,4,2449.7767520930042,4029.5241759015757
2.0,9.0,4582.941517382253,6883.550510000137,6878.597132489536,4,5237.0445478071415,8614.171718967009
2.0,10.0,-1467.3802011329808,1606.0428206424785,1767.1700092353585,4,2241.581708241651,3687.0738029093563
2.0,11.0,243.775863498523,2541.209845504395,1758.922831880186,4,2638.9155960922985,4340.629889451224
2.0,12.0,281.5155943259483,1381.9003143916098,861.1382355423552,4,2165.6006149132736,3562.0960259684366
2.0,13.0,-1168.4428874649038,948.6741760732014,1168.4428874649038,4,2045.7255754448147,3364.919132517791
2.0,14.0,328.81303318280607,536.8569433406514,516.2546445644521,4,1969.5454990076944,3239.614057488753
2.0,16.0,-306.5152597525894,2097.891938091553,1486.290577923609,4,2436.3039785317637,4007.3634354442734
2.0,17.0,310.79318913303086,375.8317988495187,377.7094911320555,4,1950.8015158821686,3208.782948861215
2.0,18.0,-287.868772127111,795.9572805515567,481.1792597224941,4,2012.9023275078325,3310.9296941003186
2.0,19.0,16.210855343546314,383.6258179433502,264.2505358212351,4,1951.5599319393925,3210.030432263678
