Shortage_Holding_Ratio,Service_Level,Total_Cost_Index,Fill_Rate,Average_Inventory
2,0.5,33381833.591604352,0.9677768295270679,624.8107074041251
2,0.6,34658491.09750709,0.979716574123127,1050.511336181708
2,0.65,37662590.40010168,0.9834741497109928,1309.8187531449967
2,0.7,41735285.23486653,0.9864795552105455,1597.6480879573517
2,0.75,46841701.565982446,0.9889741154924326,1919.6811614631897
2,0.8,53179947.55638422,0.9910656307565388,2288.747746328881
2,0.85,61128428.048504345,0.9929135930288474,2727.9379942201363
2,0.9,71719457.01527032,0.9946176988366241,3290.011999166563
2,0.95,88204084.71936753,0.9963149210101191,4135.727044141081
2,0.99,120540755.24293286,0.9980100070865383,5744.8524777680495
5,0.5,63995166.902263105,0.9677768295270679,624.8107074041251
5,0.6,53928577.43405653,0.979716574123127,1050.511336181708
5,0.65,53362825.84292984,0.9834741497109928,1309.8187531449967
5,0.7,54580262.211778596,0.9864795552105455,1597.6480879573517
5,0.75,57316743.98176583,0.9889741154924326,1919.6811614631897
5,0.8,61667964.70542072,0.9910656307565388,2288.747746328881
5,0.85,67860805.26027185,0.9929135930288474,2727.9379942201363
5,0.9,76832863.83013278,0.9946176988366241,3290.011999166563
5,0.95,91705060.87216693,0.9963149210101191,4135.727044141081
5,0.99,122431330.1134851,0.9980100070865383,5744.8524777680495
10,0.5,115017389.08669436,0.9677768295270679,624.8107074041251
10,0.6,86045387.99497226,0.979716574123127,1050.511336181708
10,0.65,79529884.91431011,0.9834741497109928,1309.8187531449967
10,0.7,75988557.17329869,0.9864795552105455,1597.6480879573517
10,0.75,74775148.00807145,0.9889741154924326,1919.6811614631897
10,0.8,75814659.95381486,0.9910656307565388,2288.747746328881
10,0.85,79081433.946551,0.9929135930288474,2727.9379942201363
10,0.9,85355208.52157024,0.9946176988366241,3290.011999166563
10,0.95,97540021.12683257,0.9963149210101191,4135.727044141081
10,0.99,125582288.2310722,0.9980100070865383,5744.8524777680495
20,0.5,217061833.4555569,0.9677768295270679,624.8107074041251
20,0.6,150279009.1168037,0.979716574123127,1050.511336181708
20,0.65,131864003.05707067,0.9834741497109928,1309.8187531449967
20,0.7,118805147.0963389,0.9864795552105455,1597.6480879573517
20,0.75,109691956.06068271,0.9889741154924326,1919.6811614631897
20,0.8,104108050.45060317,0.9910656307565388,2288.747746328881
20,0.85,101522691.31910932,0.9929135930288474,2727.9379942201363
20,0.9,102399897.90444513,0.9946176988366241,3290.011999166563
20,0.95,109209941.63616392,0.9963149210101191,4135.727044141081
20,0.99,131884204.46624637,0.9980100070865383,5744.8524777680495
