Store,Dept,Demand,Fulfilled,Lost_Sales,Average_Inventory,Total_Cost,Fill_Rate
1.0,1.0,154060.09,154060.09,0.0,1276.6898680284623,8936.829076199236,1.0
1.0,2.0,309998.79,309998.79,0.0,2046.6420412564132,14326.494288794893,1.0
1.0,3.0,80841.72,80841.72,0.0,3463.1205633494487,24241.84394344614,1.0
1.0,4.0,250798.63,250798.63,0.0,1508.7392686265189,10561.174880385632,1.0
1.0,5.0,160418.3,151962.0800513319,8456.21994866811,2451.74775306799,59443.33401481647,0.9472864383385929
1.0,6.0,25562.57,25562.57,0.0,1031.4398333549434,7220.078833484604,1.0
1.0,7.0,146082.9,132962.5845613443,13120.315438655707,1827.5932076700208,78394.72964696868,0.9101858229905369
1.0,8.0,268842.62,264714.5759910266,4128.044008973411,527.4667943660513,24332.487605429415,0.9846451280344858
1.0,9.0,261782.96,253082.78905649608,8700.170943503901,764.8277383118184,48854.648885702234,0.9667657094888685
1.0,10.0,199467.95,199467.95,0.0,2671.779477276165,18702.456340933153,1.0
1.0,11.0,137322.6,133571.75823865685,3750.841761343152,1868.3310246078674,31832.525978970833,0.9726859106851811
1.0,12.0,69455.79,67922.94986149212,1532.8401385078796,1769.4150769649846,20050.10623129429,0.977930707598202
1.0,13.0,276915.63,276915.63,0.0,2068.573875373428,14480.017127613995,1.0
1.0,14.0,84844.92,84638.0039162804,206.9160837195941,2032.9775302783091,15265.423130546134,0.9975612436935577
1.0,16.0,84095.65,84095.65,0.0,2417.6582328190366,16923.607629733255,1.0
1.0,17.0,53605.3,53582.50397995605,22.796020043950193,1238.1342820776013,8780.920074762962,0.9995747431682324
1.0,18.0,52844.41,42280.18747833173,10564.222521668267,184.7654145126427,54114.47050992984,0.8000881735330516
1.0,19.0,8631.72,8631.72,0.0,710.2255375945751,4971.578763162026,1.0
1.0,20.0,23913.2,23913.2,0.0,1007.6000657251518,7053.200460076063,1.0
1.0,21.0,53456.43,53456.43,0.0,1062.4018144196136,7436.812700937296,1.0
1.0,22.0,51279.97,49932.48511361978,1347.484886380219,1024.126364196763,13906.308981278436,0.9737229782626585
1.0,23.0,123761.9,120664.76546178733,3097.1345382126674,1792.093665737819,28030.32835122807,0.9749750566352596
1.0,24.0,41842.38,39929.304113720704,1913.075886279299,1210.879074396678,18041.532952173242,0.9542789897161851
1.0,25.0,64425.45,62265.89016411843,2159.5598358815696,928.6416916069708,17298.291020656645,0.966479708936739
1.0,26.0,53562.53,47508.40017696066,6054.129823039337,1136.6582414228344,38227.256805156525,0.886970801733239
1.0,27.0,9436.14,9436.14,0.0,670.3514564225694,4692.460194957986,1.0
1.0,28.0,3934.21,3934.21,0.0,687.4183323965847,4811.928326776093,1.0
1.0,29.0,26187.629999999997,26187.629999999997,0.0,836.5860624423894,5856.102437096726,1.0
1.0,30.0,16318.61,16318.61,0.0,1025.956760943387,7181.697326603709,1.0
1.0,31.0,10199.78,10199.78,0.0,1040.4417300132106,7283.092110092474,1.0
1.0,32.0,37536.82,37536.82,0.0,1728.4900427829211,12099.430299480448,1.0
1.0,33.0,39422.159999999996,37462.054249255074,1960.1057507449223,1154.3166513897472,17880.74531345284,0.950279087935696
1.0,34.0,68512.53,67507.60809458942,1004.9219054105815,870.4715123692367,11117.910113637565,0.9853322902334715
1.0,35.0,11564.65,11564.65,0.0,1026.265444500172,7183.858111501204,1.0
1.0,36.0,5313.8,5108.375735158649,205.4242648413508,725.9305979042036,6108.63550953618,0.9613413630845439
1.0,37.0,18137.84,18137.84,0.0,884.6036565220736,6192.225595654515,1.0
1.0,38.0,524358.84,513479.4974945266,10879.342505473353,6210.721806285369,97871.76517136434,0.9792521043309323
1.0,40.0,410641.48,409341.89344005514,1299.586559944888,1991.6119039904047,20439.216127657273,0.9968352282386455
1.0,41.0,9094.39,9094.39,0.0,795.1683658333612,5566.1785608335285,1.0
1.0,42.0,50150.69,50150.69,0.0,1330.7936330921814,9315.555431645269,1.0
1.0,44.0,43503.88,41893.688562231386,1610.1914377686135,778.9262881728673,13503.44120605314,0.9629874062320738
1.0,45.0,104.7,104.7,0.0,1048.0686397290383,4192.274558916153,1.0
1.0,46.0,120965.91,120620.5018694796,345.4081305203945,1258.6230847541265,10537.402245880858,0.9971445828785944
1.0,47.0,224.0,224.0,0.0,829.1312062576258,829.1312062576258,1.0
1.0,48.0,12640.0,8980.402108351056,3659.597891648945,560.1554636798634,22219.07770400377,0.7104748503442291
1.0,49.0,68677.4,68677.4,0.0,1849.172547630362,12944.207833412534,1.0
1.0,52.0,14327.08,14327.08,0.0,863.578865217228,6045.052056520596,1.0
1.0,54.0,279.48,279.48,0.0,740.8401022960564,4445.040613776338,1.0
1.0,55.0,71084.87,68164.76006267944,2920.109937320549,1206.3942753999308,23045.30961440226,0.9589207951379731
1.0,56.0,11801.71,11801.71,0.0,869.6533001567298,6087.5731010971085,1.0
1.0,58.0,33830.0,25140.593066997146,8689.406933002854,687.7466754294918,48261.261393020715,0.7431449325154345
1.0,59.0,1319.87,1319.87,0.0,740.9375451798909,5186.562816259237,1.0
1.0,60.0,6732.0,6732.0,0.0,715.3272801483446,5007.290961038412,1.0
1.0,67.0,45754.28,45296.22723034054,458.0527696594572,612.9468197537884,6580.891586573805,0.9899888541649118
1.0,71.0,12471.150000000001,12471.150000000001,0.0,1132.826684062134,7929.786788434938,1.0
1.0,72.0,320690.61,285142.66565362964,35547.94434637035,6294.9863250574945,221804.6260072542,0.8891519014343128
1.0,74.0,65901.67,65901.67,0.0,1524.0460909316523,10668.322636521567,1.0
1.0,79.0,230989.63,230989.63,0.0,2765.8869242606374,19361.20846982446,1.0
1.0,80.0,133799.77000000002,133799.77000000002,0.0,1032.6763211386217,7228.734247970351,1.0
1.0,81.0,208885.14,208768.05829921114,117.08170078884359,946.8808053668353,7213.574141512065,0.9994394924369016
1.0,82.0,139624.59,137808.25179024442,1816.338209755584,1235.9457166445848,17733.311065290014,0.986991272742462
1.0,83.0,39729.01,39294.23274684181,434.7772531581895,695.6232924321855,7043.249312816246,0.989056428711458
1.0,85.0,19747.309999999998,19381.462673552924,365.84732644707765,828.658558792009,7629.846543779451,0.9814735613890159
1.0,87.0,355834.17,344186.1027346096,11648.067265390375,1676.5042210448312,69975.8658742657,0.9672654617025949
1.0,90.0,618025.01,618025.01,0.0,2393.784836039153,16756.49385227407,1.0
1.0,91.0,444510.82,444510.82,0.0,3342.8294157352357,23399.80591014665,1.0
1.0,92.0,1005597.7,1000992.8759709806,4604.824029019364,4231.117147069025,52641.94017458,0.995420808908951
1.0,93.0,525303.47,519748.8998401237,5554.570159876268,2378.6115039882675,44423.13132729921,0.9894259785493588
1.0,94.0,434546.96,433982.8402831203,564.1197168797516,1552.2664505808486,13686.4637384647,0.9987018210485704
1.0,95.0,855281.3200000001,851597.8038785028,3683.5161214972177,4945.542026876695,53036.37479562295,0.9956932110694324
1.0,96.0,241276.16999999998,237099.32461129248,4176.845388707508,1456.0219577337662,31076.380647673905,0.9826885291294722
1.0,97.0,257754.51,256385.60618605965,1368.9038139403565,1062.290262957646,14280.550910405305,0.9946891178977223
1.0,98.0,85648.28,85250.87392737526,397.4060726247444,604.6943863117779,6219.891067306167,0.9953600227275464
1.0,99.0,715.03,715.03,0.0,660.67042316142,1982.01126948426,1.0
2.0,1.0,222269.77,221018.74511571683,1251.0248842831788,391.28090386578333,8994.090748476377,0.9943715923029787
2.0,2.0,445610.25,444309.2135990785,1301.0364009215555,1833.001924547293,19336.19547643883,0.9970803265837769
2.0,3.0,84868.83,84868.83,0.0,4367.2701215624165,30570.890850936914,1.0
2.0,4.0,308899.6,306559.5023580259,2340.097641974113,1578.2475619189552,22748.22114330325,0.9924244070177686
2.0,5.0,195206.64,186074.94291123078,9131.697088769215,2056.26695820722,60052.35415129662,0.953220356188861
2.0,6.0,38165.5,35873.38168892528,2292.1183110747197,539.782803348248,15239.071178811333,0.9399426625859815
2.0,7.0,260280.22999999998,234629.89371064835,25650.33628935166,3307.6336988733165,151405.11733887153,0.9014510772126195
2.0,8.0,425330.03,414850.2095127016,10479.820487298406,819.9512385517737,58138.76110635445,0.9753607322593741
2.0,9.0,244577.14,239875.72809095847,4701.411909041533,1916.8946521000657,36925.32210990813,0.9807773861897251
2.0,10.0,252847.34999999998,251182.288755759,1665.061244241013,2267.8068591682395,24199.954235382742,0.9934147569897767
2.0,11.0,130315.1,126528.22421879592,3786.8757812040712,1138.4917857807657,26903.821406485717,0.9709406217606088
2.0,12.0,53798.58,53798.58,0.0,912.1446298619923,6385.012409033946,1.0
2.0,13.0,324016.85,321920.9853724352,2095.8646275648134,1093.0041352170842,18130.352084343656,0.9935316184094599
2.0,14.0,124158.66,122722.10231809199,1436.5576819080052,1405.529694955411,17021.496274227902,0.9884296618382639
2.0,16.0,64330.53,64330.53,0.0,3607.865925789526,25255.06148052668,1.0
2.0,17.0,89385.58,88907.9978639423,477.58213605769015,973.317390870113,9201.132416379241,0.9946570561374922
2.0,18.0,97891.51,76278.79174311564,21612.71825688436,603.636834848967,112289.04912836457,0.7792176435230761
2.0,19.0,26283.519999999997,26283.519999999997,0.0,1000.0701705680224,7000.491193976157,1.0
2.0,20.0,31031.7,31031.7,0.0,1144.0777675854754,8008.544373098327,1.0
2.0,21.0,57341.41,57341.41,0.0,1395.0864575385028,9765.60520276952,1.0
2.0,22.0,87835.4,85281.48969930815,2553.910300691845,997.2228814757976,19750.11167378981,0.9709239065263909
2.0,23.0,158642.33000000002,150437.7190781866,8204.610921813393,2554.5038266593087,58904.58139568212,0.9482823347223064
2.0,24.0,47685.75,46196.99113180357,1488.7588681964344,1563.369728649862,18387.382441531205,0.9687797954693712
2.0,25.0,94861.44,90874.4239205864,3987.0160794135973,1251.908063805625,28698.43684370736,0.9579701079868321
2.0,26.0,65300.509999999995,61358.92041483801,3941.58958516199,1434.93446049193,29752.489149253455,0.9396392220342232
2.0,27.0,12031.7,12031.7,0.0,638.7460429102856,4471.222300371999,1.0
2.0,28.0,4673.64,4673.64,0.0,754.8191788479544,5283.734251935681,1.0
2.0,29.0,39942.97,39942.97,0.0,953.2572162179739,6672.800513525817,1.0
2.0,30.0,25739.02,25739.02,0.0,1102.115747395786,7714.8102317705025,1.0
2.0,31.0,22273.739999999998,21701.720026624982,572.0199733750192,978.0182110511396,9706.227344233073,0.9743186382989558
2.0,32.0,59233.61,58921.733130410634,311.876869589365,1884.1185978185645,14748.214532676775,0.994734798882098
2.0,33.0,38422.25,37221.07757669508,1201.1724233049126,1553.2593487216302,16878.677557575975,0.968737582434529
2.0,34.0,110953.48999999999,103197.21525009653,7756.27474990347,992.5949972551225,45729.53873030321,0.93009435980875
2.0,35.0,18130.14,18060.477169166385,69.6628308336135,1107.348070934224,8099.750650707635,0.9961576231163347
2.0,36.0,7537.58,7139.996504593659,397.5834954063416,688.1324159339775,6804.844388569551,0.9472531640916128
2.0,37.0,32352.38,31966.976557625498,385.40344237450245,584.1056017618101,6015.756424205183,0.9880873233321782
2.0,38.0,480584.02,478788.89336325234,1795.1266367476492,5113.119158430956,44767.46729275494,0.99626469761365
2.0,40.0,558008.08,554396.3906288579,3611.6893711420853,1402.9490707902753,27879.090351242354,0.993527532126162
2.0,41.0,21109.510000000002,21109.510000000002,0.0,1272.4774162878832,8907.341914015182,1.0
2.0,42.0,59138.17,59138.17,0.0,619.825166493641,4338.776165455487,1.0
2.0,44.0,70324.53,66698.60297572915,3625.927024270839,183.79749455748956,19416.21758325662,0.9484400816575547
2.0,45.0,31.410000000000004,31.410000000000004,0.0,844.1730291776431,1688.3460583552862,1.0
2.0,46.0,186461.37,186330.39305813398,130.97694186601075,1175.9160847057408,8886.297302270239,0.9992975652712086
2.0,48.0,17834.0,10263.095856712356,7570.904143287644,960.3846858228231,44577.21351719798,0.5754791890048422
2.0,49.0,112499.19,109814.29794125713,2684.892058742871,1181.7637647037457,21696.806646640573,0.9761341209768455
2.0,52.0,27148.760000000002,27148.760000000002,0.0,1277.7498035822086,8944.248625075461,1.0
2.0,54.0,238.24,238.24,0.0,877.8608081576967,6145.025657103877,1.0
2.0,55.0,65238.75,65238.75,0.0,1202.3662518830934,8416.563763181653,1.0
2.0,56.0,14172.460000000001,14172.460000000001,0.0,1091.09827227277,7637.687905909389,1.0
2.0,58.0,156560.0,132080.31358672192,24479.686413278076,3136.0841555271295,144351.0211550803,0.843640224749118
2.0,59.0,2415.82,2415.82,0.0,691.0420796152885,4837.294557307019,1.0
2.0,60.0,2277.0,2277.0,0.0,613.5939207189268,4295.157445032488,1.0
2.0,67.0,70650.98999999999,70650.98999999999,0.0,820.7428201406661,5745.199740984663,1.0
2.0,71.0,28712.41,27674.425988481755,1037.9840115182433,901.4184033064483,11499.848880736356,0.9638489415720155
2.0,72.0,463581.95,431266.984159628,32314.96584037201,11350.570696883766,241028.8240800464,0.9302928730500141
2.0,74.0,104584.92,104584.92,0.0,1171.4561864466348,8200.193305126444,1.0
2.0,79.0,217667.07,216623.96321137267,1043.1067886273304,2108.0342752528595,19971.77386990667,0.9952077877989199
2.0,80.0,178719.05,177706.5160759128,1012.5339240872017,1049.643438150759,12410.173687491322,0.9943344935859542
2.0,81.0,209612.02,209612.02,0.0,1073.4647720475284,7514.2534043327,1.0
2.0,82.0,171344.32,171344.32,0.0,824.8453950035847,5773.917765025093,1.0
2.0,83.0,38130.07,37596.8259909361,533.2440090638966,480.5903287116392,6030.352346300957,0.9860151316516361
2.0,85.0,18071.09,17820.46128943486,250.62871056513814,804.8593273528992,6887.158844295984,0.9861309577582128
2.0,87.0,174766.49,157419.04704634723,17347.442953652764,2476.8646360186067,104075.26722039407,0.9007393067535272
2.0,90.0,711895.7,708044.2004770879,3851.4995229121414,610.0463188673103,23527.82184663188,0.994589798023907
2.0,91.0,561334.05,560546.1969194096,787.8530805905029,1983.420621063787,17823.209750399023,0.998596463049782
2.0,92.0,1239508.51,1229721.696411362,9786.813588638091,2233.4029793246923,64567.888798463304,0.9921042788252917
2.0,93.0,533483.69,521062.9562567946,12420.733743205376,533.4775928650924,65838.01186608252,0.9767176879517998
2.0,94.0,500989.57999999996,492705.815635879,8283.764364121002,270.43619215236475,43311.87516567156,0.9834651962938611
2.0,95.0,1023227.6499999999,1023227.6499999999,0.0,4468.621590869364,31280.35113608555,1.0
2.0,96.0,253143.31,245512.27531463452,7631.034685365477,636.2539194545471,42608.95086300922,0.9698548830487936
2.0,97.0,296121.13,293501.73361947597,2619.3963805240055,514.2090608319153,16696.445328443435,0.9911543077641098
2.0,98.0,99752.69,98047.19280421465,1705.497195785354,398.98370238759605,11320.371895639943,0.9829027448203617
2.0,99.0,645.06,645.06,0.0,638.0777620590167,1914.23328617705,1.0
3.0,1.0,69719.26,65997.17400919691,3722.0859908030916,339.7874496773597,20988.942101756977,0.9466132315402791
3.0,2.0,132171.96,131464.87258468472,707.0874153152763,607.9004272066325,7790.740067022809,0.994650246426585
3.0,3.0,36354.07,36354.07,0.0,1387.8464500347557,9714.925150243289,1.0
3.0,4.0,63496.729999999996,62902.281035389715,594.4489646102847,761.5049075613862,8302.779175981126,0.9906381168823926
3.0,5.0,104965.17,95559.02508907695,9406.144910923047,1111.9469565736997,54814.35325063113,0.9103879419151796
3.0,6.0,13129.84,13129.84,0.0,860.3684159313736,6022.578911519616,1.0
3.0,7.0,69739.02,64427.0642176222,5311.955782377796,1012.464984512796,33647.03380347855,0.9238309373665159
3.0,8.0,59616.72,59616.72,0.0,757.3590944859565,5301.513661401696,1.0
3.0,9.0,99628.81,91420.65579020459,8208.15420979542,1126.0033567405474,48922.794546160934,0.9176126442763353
3.0,10.0,91647.8,90098.21723316266,1549.5827668373404,577.6558007669545,11791.504439555383,0.9830919807476302
3.0,11.0,55840.42,50573.67953177106,5266.740468228942,700.4024850808013,31236.519736710317,0.9056822912823911
3.0,12.0,17267.760000000002,17267.760000000002,0.0,846.485871924521,5925.401103471647,1.0
3.0,13.0,87169.33,85002.75559157705,2166.5744084229445,645.5584420019755,15351.781136128551,0.9751452212788265
3.0,14.0,33965.67,33268.886428864105,696.7835711358948,731.8765790010797,8607.053908687032,0.9794856520970765
3.0,16.0,30529.57,30529.57,0.0,1265.2522610825833,8856.765827578083,1.0
3.0,17.0,19398.07,19251.081221553453,146.9887784465468,655.7058610376672,5324.884919496404,0.9924225049993868
3.0,18.0,19651.010000000002,17071.497143325236,2579.5128566747644,43.82321067284459,13204.326758083733,0.8687338280996872
3.0,19.0,4416.98,4416.98,0.0,843.0837382812335,5901.586167968635,1.0
3.0,20.0,13908.19,13908.19,0.0,569.2738575921596,3984.9170031451176,1.0
3.0,21.0,10162.91,10162.91,0.0,776.266110991644,5433.862776941508,1.0
3.0,22.0,30652.690000000002,29162.876907734066,1489.8130922659348,288.5809242414075,9469.131931019527,0.9513969869441822
3.0,23.0,95748.85,87537.59266566332,8211.257334336682,427.254744255869,44047.06988147449,0.9142417132494366
3.0,24.0,18919.79,18919.79,0.0,920.9830965066564,6446.881675546594,1.0
3.0,25.0,31576.23,31118.54744733316,457.682552666839,745.7916610239827,7508.954390502075,0.985505471911408
3.0,26.0,21067.28,20857.953288818546,209.32671118145436,836.7697170013938,6904.021574917029,0.9900638947609064
3.0,27.0,3250.29,3250.29,0.0,726.6032397709681,5086.222678396777,1.0
3.0,28.0,850.69,850.69,0.0,773.965613294187,5417.759293059309,1.0
3.0,29.0,8063.4400000000005,8063.4400000000005,0.0,834.6821451245693,5842.775015871985,1.0
3.0,30.0,7788.139999999999,7788.139999999999,0.0,862.4629032807351,6037.240322965145,1.0
3.0,31.0,6554.07,6554.07,0.0,661.9205687432932,4633.443981203052,1.0
3.0,32.0,30168.809999999998,28061.138432146923,2107.671567853079,630.7639253971684,14953.705317045573,0.930137397933393
3.0,33.0,22579.19,22579.19,0.0,721.1004609710386,5047.70322679727,1.0
3.0,34.0,27572.93,27223.6071878078,349.3228121922007,816.0092531656056,7458.678833120242,0.9873309506029211
3.0,35.0,4771.62,4771.62,0.0,968.4052282864166,6778.836598004916,1.0
3.0,36.0,2499.42,2499.42,0.0,635.5559938972903,4448.891957281032,1.0
3.0,38.0,623319.11,613668.7346821894,9650.375317810613,3003.5460013564903,69276.6985985485,0.9845177611868653
3.0,40.0,142141.16,141027.6318370829,1113.5281629170968,285.16269600911517,7563.77968664929,0.992166039992096
3.0,41.0,4288.81,4288.81,0.0,808.365487133323,5658.558409933261,1.0
3.0,42.0,35405.83,32456.845904260907,2948.9840957390934,1028.3156844263417,21943.13026967986,0.9167090816473136
3.0,44.0,19223.24,19223.24,0.0,803.4871056115244,5624.409739280671,1.0
3.0,46.0,41189.520000000004,41189.520000000004,0.0,675.6465017792156,4729.525512454509,1.0
3.0,49.0,103.95,103.95,0.0,849.5663482352074,5946.964437646452,1.0
3.0,52.0,8142.280000000001,8142.280000000001,0.0,752.7754166600453,5269.427916620317,1.0
3.0,54.0,218.32,218.32,0.0,855.7611622513226,5990.328135759259,1.0
3.0,55.0,49395.67,47228.407815472245,2167.2621845277536,1272.9771347363883,19747.150865793486,0.956124450087877
3.0,56.0,4841.35,4841.35,0.0,680.8119692120073,4765.683784484051,1.0
3.0,59.0,31.5,31.5,0.0,894.66824517155,4473.34122585775,1.0
3.0,60.0,990.0,990.0,0.0,775.7520680977515,5430.26447668426,1.0
3.0,67.0,13421.029999999999,13421.029999999999,0.0,756.106387027647,5292.744709193529,1.0
3.0,71.0,8457.380000000001,8457.380000000001,0.0,655.8909772285218,4591.236840599653,1.0
3.0,72.0,196664.37,187308.88461382972,9355.485386170287,1760.4275310011628,59100.41964785957,0.9524291797941321
3.0,74.0,25505.95,25505.95,0.0,446.30087177407694,3124.1061024185387,1.0
3.0,79.0,51095.04,50649.81225924859,445.22774075141297,793.551484700023,7780.999096657226,0.9912862825677128
3.0,80.0,0.97,0.97,0.0,1102.2208800040862,1102.2208800040862,1.0
3.0,81.0,13845.710000000001,13845.710000000001,0.0,672.0533921064853,4704.373744745397,1.0
3.0,82.0,55022.71,54725.58075296242,297.12924703757926,740.7669153048055,6671.014642321535,0.9945998798125796
3.0,85.0,3315.4700000000003,3315.4700000000003,0.0,861.468136986219,6030.276958903532,1.0
3.0,87.0,10820.84,10730.613109553477,90.22689044652407,519.4664437838401,4087.3995587195013,0.9916617480300491
3.0,90.0,12197.94,12197.94,0.0,902.1197888701275,6314.838522090893,1.0
3.0,91.0,2754.2200000000003,2754.2200000000003,0.0,840.0565304532796,5880.395713172958,1.0
3.0,92.0,68790.87,68790.87,0.0,644.6773758936898,4512.741631255829,1.0
3.0,94.0,605.72,605.72,0.0,1832.6146821839666,10995.6880931038,1.0
3.0,95.0,124039.97,124039.97,0.0,1354.85351560803,9483.974609256209,1.0
3.0,96.0,31645.21,31645.21,0.0,363.65129417758857,2545.55905924312,1.0
3.0,97.0,3805.67,3805.67,0.0,710.4473107439634,4973.131175207744,1.0
4.0,1.0,303928.69,303928.69,0.0,2701.162210070283,18908.13547049198,1.0
4.0,2.0,667830.05,666614.8601830963,1215.1898169037158,3955.8152040762757,33766.65551305251,0.9981803906294666
4.0,3.0,91716.79000000001,91716.79000000001,0.0,2979.47258218032,20856.30807526224,1.0
4.0,4.0,405941.0,405811.4127625203,129.58723747965996,1932.6054862639119,14176.174591245683,0.9996807732220208
4.0,5.0,297332.7,286999.26042669686,10333.43957330317,4632.261283669062,84093.02685219928,0.965246205434844
4.0,6.0,46298.75,43882.834146597575,2415.9158534024236,821.8601661162617,17832.60042982595,0.9478189831604001
4.0,7.0,340097.99,323524.85843283596,16573.131567164055,3515.8604609810354,107476.68106268752,0.9512695397959746
4.0,8.0,427175.86,427175.86,0.0,2291.560155116293,16040.92108581405,1.0
4.0,9.0,257426.97999999998,249199.07742810764,8227.902571892351,2790.8386636856753,60675.38350526149,0.9680379167253862
4.0,10.0,264543.1,261465.5054972135,3077.5945027864873,3317.237698072873,38608.63640044255,0.9883663777177085
4.0,11.0,151075.88,140957.0762933578,10118.803706642208,3755.536719460914,76882.77556943744,0.9330217126212191
4.0,12.0,52436.64,52204.66886137691,231.97113862309197,1563.1806414155708,12102.120183024455,0.9955761631824027
4.0,13.0,530883.74,528718.0445872966,2165.6954127034987,1229.7192175965756,19436.511586693523,0.9959205843963059
4.0,14.0,191243.73,189342.74457122086,1900.9854287791459,1840.6789210210543,22389.67959104311,0.9900598810283655
4.0,16.0,54808.46,54808.46,0.0,2911.5116813393056,20380.581769375138,1.0
4.0,17.0,107505.41,105849.01441557654,1656.395584423457,1201.5718952856168,16692.981189116603,0.984592444376302
4.0,18.0,128994.70999999999,113708.67704425528,15286.032955744718,493.81586775648327,79886.87585301898,0.881498761028691
4.0,19.0,18636.059999999998,18636.059999999998,0.0,1176.5155464869265,8235.608825408486,1.0
4.0,20.0,58916.659999999996,58916.659999999996,0.0,1307.5478044112647,9152.834630878853,1.0
4.0,21.0,53938.04,53938.04,0.0,1536.7834560802762,10757.484192561933,1.0
4.0,22.0,127391.36,127371.5797420623,19.780257937702117,1599.7601390492714,11297.22226303341,0.9998447284184916
4.0,23.0,306228.72000000003,304168.66165835195,2060.058341648044,6010.525664910902,52373.97136261654,0.9932728114409123
4.0,24.0,71314.63,68468.82567019734,2845.8043298026587,886.9378976795148,20437.586932769897,0.9600950838586324
4.0,25.0,107693.36,107267.64418364316,425.71581635684197,1060.59891335341,9552.77147525808,0.9960469631892176
