Service_Level,Total Demand,Fulfilled Demand,Lost Sales,Fill Rate,Stockout-Free Cycle Rate,Average Ending Inventory,Average Order Quantity,Holding Cost Index,Shortage Cost Index,Total Simulated Cost Index
0.5,316680335.52000004,306475891.08311373,10204444.436886251,0.9677768295270679,0.5449116216346386,624.8107074041251,14773.50381581178,12972944.71783185,51022222.184431255,63995166.902263105
0.525,316680335.52000004,307696317.33012867,8984018.189871296,0.9716306408002274,0.6532774647208978,716.4722195398551,14832.282713226172,14876112.694306012,44920090.94935648,59796203.6436625
0.55,316680335.52000004,308692594.12138623,7987741.398613775,0.9747766422392548,0.7144921254154024,819.5238291638994,14880.265990751457,17015773.264930043,39938706.993068874,56954480.25799891
0.575,316680335.52000004,309533485.73607093,7146849.783929082,0.9774319748266221,0.7615951452102298,931.264770006884,14920.765514649,19335850.41965293,35734248.91964541,55070099.33929834
0.6,316680335.52000004,310256973.4078168,6423362.112183146,0.979716574123127,0.7988729952319029,1050.511336181708,14955.610559765115,21811766.873140804,32116810.56091573,53928577.43405653
0.625,316680335.52000004,310888529.4118488,5791806.108151222,0.9817108754206638,0.8281558541636566,1176.7372243188227,14986.027937024277,24432594.988531716,28959030.540756114,53391625.52928782
0.65,316680335.52000004,311446923.70572394,5233411.814276055,0.9834741497109928,0.852526128208833,1309.8187531449967,15012.92165632665,27195766.771549568,26167059.071380276,53362825.84292984
0.675,316680335.52000004,311946785.90000665,4733549.619993311,0.9850525937702423,0.8725136059336319,1449.943262742847,15036.996317709045,30105171.964329734,23667748.09996656,53772920.06429629
0.7,316680335.52000004,312398676.52769595,4281658.99230402,0.9864795552105455,0.8894186774550884,1597.6480879573517,15058.760543865637,33171967.25025849,21408294.961520106,54580262.211778596
0.725,316680335.52000004,312812988.2638917,3867347.2561082756,0.9877878515893385,0.902952367191639,1753.6914840341433,15078.714873018254,36411896.283000916,19336736.28054138,55748632.56354229
0.75,316680335.52000004,313188654.71473885,3491680.8052611253,0.9889741154924326,0.9169676828974618,1919.6811614631897,15096.807944869484,39858339.955460206,17458404.026305627,57316743.98176583
0.775,316680335.52000004,313533279.1706936,3147056.3493064484,0.9900623562743834,0.9284785435630689,2097.231729431818,15113.405953632895,43544822.39819284,15735281.746532243,59280104.144725084
0.8,316680335.52000004,313850996.4703212,2829339.0496788304,0.9910656307565388,0.9384000385300776,2288.747746328881,15128.708043871668,47521269.457026556,14146695.248394154,61667964.70542072
0.825,316680335.52000004,314149808.22508913,2530527.2949108696,0.9920092060949863,0.9463950296199971,2497.396720779575,15143.099593973675,51853448.11354631,12652636.474554347,64506084.588100664
0.85,316680335.52000004,314436209.78274417,2244125.7372558317,0.9929135930288474,0.9544381833068439,2727.9379942201363,15156.89343675434,56640176.573992684,11220628.686279159,67860805.26027185
0.875,316680335.52000004,314710467.9414396,1969867.5785603765,0.9937796340422407,0.9615662476520734,2988.025913881119,15170.102421905596,62040382.04991367,9849337.892801883,71889719.94271556
0.9,316680335.52000004,314975866.5817125,1704468.9382874887,0.9946176988366241,0.9682126860280307,3290.011999166563,15182.884709642092,68310519.13869534,8522344.691437444,76832863.83013278
0.925,316680335.52000004,315240069.42750156,1440266.0924984857,0.9954519876008925,0.9745701488224245,3656.2983526864023,15195.609404810853,75915722.69682777,7201330.462492429,83117053.1593202
0.95,316680335.52000004,315513343.46906686,1166992.0509331317,0.9963149210101191,0.9804941482444733,4135.727044141081,15208.77099232544,85870100.61750127,5834960.254665659,91705060.87216693
0.975,316680335.52000004,315814381.012875,865954.5071250083,0.997265524852678,0.9871887492173578,4877.212460628073,15223.269742207833,101265562.32002069,4329772.535625041,105595334.85564572
0.99,316680335.52000004,316050143.8964826,630191.6235174185,0.9980100070865383,0.9913788951500265,5744.8524777680495,15234.624694941427,119280371.99589801,3150958.1175870923,122431330.1134851
