Policy,Service_Level,Total Demand,Fulfilled Demand,Lost Sales,Fill Rate,Stockout-Free Cycle Rate,Average Ending Inventory,Average Order Quantity,Holding Cost Index,Shortage Cost Index,Total Simulated Cost Index
Forecast only (50%),0.5,316680335.52000004,306475891.08311373,10204444.436886251,0.9677768295270679,0.5449116216346386,624.8107074041251,14773.50381581178,12972944.71783185,51022222.184431255,63995166.902263105
Optimal policy (65.0%),0.65,316680335.52000004,311446923.70572394,5233411.814276055,0.9834741497109928,0.852526128208833,1309.8187531449967,15012.92165632665,27195766.771549568,26167059.071380276,53362825.84292984
75.0% service,0.75,316680335.52000004,313188654.71473885,3491680.8052611253,0.9889741154924326,0.9169676828974618,1919.6811614631897,15096.807944869484,39858339.955460206,17458404.026305627,57316743.98176583
80.0% service,0.8,316680335.52000004,313850996.4703212,2829339.0496788304,0.9910656307565388,0.9384000385300776,2288.747746328881,15128.708043871668,47521269.457026556,14146695.248394154,61667964.70542072
90.0% service,0.9,316680335.52000004,314975866.5817125,1704468.9382874887,0.9946176988366241,0.9682126860280307,3290.011999166563,15182.884709642092,68310519.13869534,8522344.691437444,76832863.83013278
95.0% service,0.95,316680335.52000004,315513343.46906686,1166992.0509331317,0.9963149210101191,0.9804941482444733,4135.727044141081,15208.77099232544,85870100.61750127,5834960.254665659,91705060.87216693
99.0% service,0.99,316680335.52000004,316050143.8964826,630191.6235174185,0.9980100070865383,0.9913788951500265,5744.8524777680495,15234.624694941427,119280371.99589801,3150958.1175870923,122431330.1134851
